product_name,brand_key,flavor_count,strength_count,capacity_per_foot,price,tier,priority,section,,
Zyn,Zyn,8,2,4,12.99,Premium,1,Novelty,,4
On! Plus,On!,4,2,4,12.99,Premium,2,Novelty,,2
Velo Plus,Velo Plus,4,2,4,12.99,Premium,3,Novelty,,2
Rogue,Rogue,8,2,4,12.99,Premium,4,Novelty,,4
On!,On!,5,3,5,12.99,Premium,5,Novelty,,3
Zimo,Zimo,4,3,4,9.99,Core,6,Novelty,,3
Wyn,Wyn,8,2,4,7.99,Core,7,Novelty,,4
Alps,Alps,4,2,4,9.99,Core,8,Novelty,,2
BSX,BSX,4,2,4,9.99,Core,9,Novelty,,2
NiQ,NiQ,8,2,4,9.99,Core,10,Novelty,,4
Nic Nac,Nic Nac,8,2,4,9.99,Core,11,Novelty,,4
Pillowz,Pillowz,4,2,4,10.99,Premium,12,Novelty,,2
Hyde Strips,Hyde Strips,4,2,4,10.99,Premium,13,Novelty,,2
Berserker,Berserker,4,1,4,5.99,Value,14,Novelty,,1
Mojo,Mojo,4,1,4,5.99,Value,15,Novelty,,1
Zippix,Zippix,6,1,6,9.99,Value,16,Novelty,,1
