product_name,brand_key,flavor_count,strength_count,capacity_per_foot,price,tier,priority,section,SECTIONS
Juice Head,Juice Head,12,2,4,25.99,Premium,1,VG,6
Noms,Noms,12,2,4,24.99,Premium,2,VG,6
BSX,BSX,12,2,4,21.99,Premium,3,VG,6
MRKT PLCE,MRKT PLCE,8,2,4,24.99,Premium,5,VG,4
Coastal Clouds,Coastal Clouds,12,2,4,20.99,Premium,4,VG,6
Cloud Nurdz,Cloud Nurdz,8,2,4,24.99,Premium,6,VG,4
Humble,Humble,8,2,4,23.99,Premium,7,VG,4
Vapetasia,Vapetasia,8,2,4,23.99,Premium,8,VG,4
Twist,Twist,8,2,4,20.99,Premium,9,VG,4
naked,naked,8,3,4,19.99,Core,10,VG,6
Five Pawns,Five Pawns,4,3,4,24.99,Core,11,VG,3
Craving Custard,Craving Custard,4,3,4,20.99,Core,12,VG,3
Beard Vape,Beard Vape,4,2,4,24.99,Core,13,VG,2
Coastal Clouds 100ml,Coastal Clouds,4,2,4,24.99,Core,14,VG,2
Fusion,Fusion,4,2,4,24.99,Core,15,VG,2
Prohibition,Prohibition,4,2,4,24.99,Core,16,VG,2
RAZ Gush,RAZ Gush,4,2,4,24.99,Core,17,VG,2
Reds,Reds,4,2,4,24.99,Core,18,VG,2
Pod Juice,Pod Juice,4,2,4,24.99,Core,23,VG,2
Ripe Vapes,Ripe Vapes,4,2,4,23.99,Core,20,VG,2
Sadboy,Sadboy,4,2,4,24.99,Core,21,VG,2
Zen Haus,Zen Haus,4,2,4,24.99,Core,22,VG,2
Cassadaga,Cassadaga,4,1,4,21.99,Value,24,VG,1
Pacha,Pacha,4,1,4,20.99,Value,25,VG,1
Watson,Watson,4,1,4,21.99,Value,26,VG,1
Kilo,Kilo,4,2,4,24.99,Core,27,VG,2
Skwezed,Skwezed,4,2,4,23.99,Core,23,VG,2
